year,latitude,longitude,sea_surface_temp
1851,39.84,-68.78,22.2
1851,42.33,-62.33,15.0
1851,36.37,-60.97,21.1
1851,42.25,-70.5,
1851,19.12,-74.13,
1851,20.69,-73.08,
1851,25.65,-87.23,27.2
1851,22.1,-55.33,28.3
1851,19.08,-74.73,
1851,41.08,-64.97,3.3
1851,40.73,-63.0,10.6
1851,37.73,-58.33,18.3
1851,39.92,-61.93,18.3
1851,25.67,-79.67,26.1
1851,18.93,-54.47,
1851,40.55,-68.48,7.8
1851,44.13,-54.0,
1851,35.17,-58.32,26.1
1851,25.0,-83.53,26.1
1851,40.02,-74.0,
1851,21.35,-57.17,26.7
1851,42.08,-51.58,21.7
1851,19.53,-53.18,
1851,39.88,-69.3,10.0
1851,37.02,-73.3,22.2
1851,42.08,-57.41,4.4
1851,39.78,-73.37,
1851,34.17,-53.0,18.3
1851,41.58,-59.73,19.4
1851,29.52,-74.87,21.7
1851,39.9,-69.25,15.6
1851,17.23,-51.62,
1851,41.63,-65.52,5.6
1851,23.23,-59.68,
1851,14.78,-52.67,
1851,41.0,-54.0,12.2
1851,26.1,-57.97,
1851,40.52,-50.85,24.4
1851,30.22,-71.57,
1851,37.03,-63.17,24.4
1851,34.17,-55.3,23.3
1851,35.17,-71.95,21.1
1851,39.52,-68.13,25.0
1851,38.18,-73.25,
1851,43.47,-56.67,13.3
1851,26.15,-59.93,
1851,24.93,-80.4,25.6
1851,23.23,-57.78,
1851,35.63,-70.45,17.8
1851,18.72,-53.17,24.4
1851,35.67,-70.43,
1851,38.68,-58.07,21.7
1851,43.67,-50.25,13.3
1851,38.5,-67.0,
1851,36.25,-63.43,21.7
1851,12.25,-52.33,27.8
1851,42.5,-64.0,18.9
1851,33.07,-74.67,21.1
1851,38.12,-63.0,25.6
1851,38.68,-59.18,19.4
1851,44.5,-53.97,11.7
1851,31.88,-78.33,27.8
1851,28.12,-64.63,25.0
1851,42.28,-64.0,
1851,31.1,-71.63,
1851,41.57,-63.0,18.3
1851,36.18,-67.08,18.3
1851,22.08,-71.58,
1851,46.72,-50.5,12.8
1851,30.52,-58.42,27.2
1851,16.65,-52.08,26.7
1851,41.43,-54.83,17.8
1851,18.9,-82.45,27.8
1851,31.63,-65.37,21.1
1851,38.73,-55.82,20.0
1851,28.6,-65.88,24.4
1851,40.0,-67.75,
1851,42.48,-61.03,17.8
1851,42.13,-63.07,2.2
1851,25.03,-60.75,23.3
1851,33.85,-75.92,26.1
1851,41.97,-54.35,7.8
1851,29.72,-69.83,20.6
1851,38.25,-60.17,21.1
1851,38.83,-69.33,25.6
1851,40.9,-66.82,15.0
1851,40.62,-61.73,16.1
1851,31.05,-53.73,
1851,29.23,-71.82,
1851,31.08,-79.33,
1851,43.57,-58.82,1.1
1851,25.1,-64.03,
1851,41.45,-62.83,5.6
1851,20.2,-56.63,25.0
1851,28.22,-63.85,
1851,42.98,-60.23,13.3
1851,32.73,-53.6,28.3
1851,38.42,-68.0,
1851,32.68,-51.03,25.6
1851,33.28,-76.23,23.9
1851,41.57,-58.83,20.6
1851,36.72,-64.17,20.0
1851,39.73,-63.12,20.0
1851,39.62,-67.5,15.6
1851,37.57,-65.33,23.3
1851,34.83,-70.42,
1851,41.47,-68.75,15.0
1851,41.17,-62.0,21.7
1851,37.82,-73.0,11.7
1851,32.78,-52.2,19.4
1851,43.33,-56.0,
1851,27.8,-79.67,
1851,39.33,-67.88,5.6
1851,16.8,-64.33,27.8
1851,30.0,-53.25,19.4
1851,23.48,-58.6,27.8
1851,46.89,-56.64,
1851,23.82,-60.32,23.9
1851,39.78,-60.05,23.3
1851,40.55,-71.27,6.7
1851,30.75,-78.67,26.7
1851,41.28,-67.78,
1851,23.67,-84.57,27.2
1851,36.12,-72.33,
1851,20.3,-51.18,
1851,39.38,-67.63,23.9
1851,32.05,-52.28,
1851,35.82,-61.25,23.9
1851,37.4,-67.62,22.2
1851,44.13,-50.0,5.6
1851,40.73,-69.33,20.0
1851,32.17,-67.73,
1851,19.78,-74.3,
1851,39.7,-57.93,24.4
1851,35.08,-73.47,27.8
1851,29.47,-67.08,23.3
1851,42.47,-57.33,19.0
1851,34.03,-52.35,24.4
1851,30.63,-59.5,27.2
1851,35.02,-54.52,18.9
1851,33.73,-75.73,26.7
1851,35.0,-71.27,18.9
1851,17.2,-55.13,27.2
1851,37.4,-59.5,24.4
1851,28.78,-75.25,21.7
1851,45.55,-55.98,6.1
1851,33.88,-73.33,
1851,40.93,-62.33,15.6
1851,43.32,-63.17,15.6
1851,21.07,-52.83,28.3
1851,43.07,-53.33,8.3
1851,26.83,-58.17,
1851,27.22,-68.37,23.3
1851,38.13,-51.0,17.8
1851,21.18,-61.77,
1851,37.67,-64.52,
1851,26.55,-89.07,
1851,38.93,-69.65,22.2
1851,32.17,-72.83,
1851,25.93,-83.28,
1851,20.95,-56.2,
1851,35.78,-50.02,19.4
1851,17.25,-56.92,25.0
1851,33.77,-60.45,
1851,36.18,-73.25,
1851,40.43,-68.65,15.6
1851,29.27,-69.3,23.9
1851,29.6,-50.0,24.4
1851,20.02,-74.45,
1851,36.02,-72.58,
